ID,Conteúdo,Autor,Categoria,Subcategoria,Status,Tags,Última Sincronização,Excluir?
3472,NM 7192 4.3.7 Aterramento d)as guias poderão ser utilizadas como um condutor comum à terra. A ligação das guias à terra deve obedecer à NBR 5410;,Eliseu,,Guias e Corrediças,ok,,08/07/2026,FALSE
3473,"As guias do contrapeso foram constatadas sem lubrificação adequada. Essa irregularidade sujeita os componentes a ruídos excessivo e desgaste prematuro durante o funcionamento do elevador. 
 
Necessita regularização. 
 
NBR 16083 A manutenção inclui: a) lubrificação e limpeza. ",Romulo,,Guias e Corrediças,ok,guias do contrapeso sem lubrificação adequada,08/07/2026,FALSE
3474,"Falta regularizar a iluminação ao longo da caixa de corrida. Diversas luminárias estão danificadas ou inoperantes. A iluminação da caixa de corrida é item obrigatório por norma, deve ser regularizada.
NM207 5.9 Iluminação da caixa – A caixa deve ser provida com iluminação elétrica de instalação permanente, proporcionando iluminação mínima de 20 lx durante reparos e manutenção, mesmo quando todas as portas estão fechadas.[...]

Essa exigência visa proporcionar condições adequadas para manutenção e inspeção dos componentes instalados na caixa de corrida. ",Rômulo,,Iluminação,ok,"luminárias danificadas, regularizar",08/07/2026,FALSE
3475,A caixa de corrida está sendo usada como passagem para fiações estranhas aos elevadores. A Norma proíbe.,Eliseu,,Iluminação e Instalações Elétricas,ok,fiações estranhas,08/07/2026,FALSE
3476,A caixa de corrida está sendo usada como passagem para tubulações não pertencentes ao elevador,Eliseu,,Iluminação e Instalações Elétricas,ok,passagem para tubulação,08/07/2026,FALSE
3477,"As instalações elétricas ao longo da caixa de corrida foram feitas de forma improvisada, amarradas com pedaços de arames em lugar de braçadeiras. Tais irregularidades contrariam a boa técnica e tende a sucatear o equipamento.",Eliseu,,Iluminação e Instalações Elétricas,ok,"improvisadas, sucateamento",08/07/2026,FALSE
3478,"Falta a tampa em alguns trechos de calhas ao longo da caixa de corrida. Algumas calhas estão oxidadas, sendo necessário tratamento anticorrosivo.",Eliseu,,Iluminação e Instalações Elétricas,ok,"calhas oxidadas, tratamento anticorrosivo",08/07/2026,FALSE
3479,"Falta o aterramento das calhas de condução das fiações elétricas ao longo da caixa de corrida. A norma determina: Todas as partes metálicas do elevador não submetidas a tensão, tanto colocadas na casa de máquinas como na caixa, devem estar aterradas.",Eliseu,,Iluminação e Instalações Elétricas,ok,"falta aterramento, norma",08/07/2026,FALSE
3480,"Vista geral interna da caixa de corrida.  A norma atual, NM207 recomenda: Iluminação da caixa de corrida: A caixa deve ser provida com iluminação elétrica de instalação permanente, proporcionando iluminação mínima de 20 lx durante reparos e manutenção, mesmo quando todas as portas estão fechadas. Esta iluminação deve compreender uma lâmpada a 0,5 m em cada um dos pontos mais alto e mais baixo da caixa e lâmpadas intermediárias com distância entre elas não superior à 7 m.",Eliseu,,Iluminação e Instalações Elétricas,ok,recomendação da norma,08/07/2026,FALSE
3576,"A iluminação da casa de máquinas é deficiente. A boa condição de iluminação é item exigido por Norma, visando garantir a boa condição de operação e manutenção do equipamento. 
NM207 6.3.6 [...] A casa de máquinas deve ser provida com iluminação elétrica de instalação permanente que assegure no mínimo 200 lx ao nível do piso.",Eliseu,,Iluminação e Instalações Elétricas,ok,"Iluminação deficiente, luz de emergência",08/07/2026,FALSE
3577,"As tomadas estão sem as proteções, as fiações estão expostas e falta a identificação visual da tensão das tomadas. As instalações elétricas devem ser conforme a norma NBR 5410 e NM207. Necessita de regularização envolvendo a sua proteção contra danos.
NM207 13.5.1.1 Exceto para os circuitos de potência da máquina, podem ser usados em todos os circuitos os condutores selecionados conforme CENELEC HD 21.3 S2, partes 2 (HO7V-U e HO7V-R), 3 (HO7V-K), 4 (HO5V-U) e 5 (HO5V-K), desde que eles estejam instalados em conduites (ou canaletas) feitas de metal ou plásticos ou os condutores estejam protegidos de maneira equivalente.",Eliseu,,Iluminação e Instalações Elétricas,ok,"tomadas, identificação das tensões, fiação exposta",08/07/2026,FALSE
3578,"Existem instalações elétricas estão em situação precária sujeitando a acidentes por curto circuitos. A norma exige que as fiações estejam devidamente protegidas através de conduites, canaletas e caixas de passagem, conforme a NBR 5410. Detalhe mostrando instalação elétrica feita de forma improvisada e irregular.",Eliseu,,Iluminação e Instalações Elétricas,ok,"fiação exposta, conduites",08/07/2026,FALSE
3579,"Faltam tomadas no interior da casa de máquinas. 
NBR7192 4.2.4 Iluminação e tomadas na casa de máquinas: Deve haver uma tomada de 600 W para cada grupo de dois elevadores Deve haver, no mínimo, duas tomadas de 600 W.",Eliseu,,Iluminação e Instalações Elétricas,ok,tomadas,08/07/2026,FALSE
3580,"A casa de máquinas está sendo usado como depósito de materiais alheios aos elevadores, a Norma proíbe.
NBR 7192 4.2 A casa de máquinas e de polias devem ser exclusivamente destinadas aos elevadores, não sendo permitido o seu uso como depósito ou para instalações de equipamentos alheios aos elevadores, ou ainda, servir de passagem de qualquer espécie.",Eliseu,,Limpeza e Organização,ok,"uso exclusivo, norma",08/07/2026,FALSE
3581,"Existe acúmulo de sujeira na casa de máquinas, restos das obras civis e da instalação dos elevadores. Após o término da instalação, deve-se proceder uma limpeza geral, com a remoção de qualquer material estranho aos elevadores, conforme exige a Norma. A casa de máquinas e a casa de polias devem ser exclusivamente destinadas aos elevadores, não sendo permitido o seu uso como depósito ou para instalações de equipamentos alheios aos elevadores, ou ainda, servir de passagem de qualquer espécie.",Eliseu,,Limpeza e Organização,ok,"recebimento, limpeza e organização geral, ótima nota",08/07/2026,FALSE
3598,"A porta de acesso não atende à Norma NM207 em seu item 6.3.3.1, uma vez que sua folha abre para dentro da casa de máquinas. A porta deve abrir para fora da casa de máquinas, em sentido de fuga.
NM207 6.3.3.1 A porta de acesso à casa de máquinas deve ser de material incombustível e sua folha deve abrir para fora, estar provida de fechadura com chave, com fechamento e travamento autônomo.
 ",Rômulo,,Porta de Acesso,ok,porta da casa de máquinas abrindo pra dentro,08/07/2026,FALSE
4304,"As portas pantográficas da cabina possibilitam que objetos ou partes do corpo sejam inseridos através de suas barras sujeitando a acidentes graves. Desde 1999 é proibido o uso de portas pantográficas.
Recomenda-se a substituição por portas automáticas com fechamento completo, que oferecem maior segurança aos usuários.
NBR 7192 - 4.10 Portas do carro. Todas as entradas do carro devem possuir portas não perfuradas que permitam fechar toda a abertura. Não é permitido o uso de porta pantográfica.
",Romulo,,Porta da Cabina,revisar,"modernização, substituição de portas pantográficas",14/07/2026,FALSE
3481,"A caixa deve ser provida com iluminação elétrica de instalação permanente, proporcionando iluminação mínima de 20 lx durante reparos e manutenção, mesmo quando todas as portas estão fechadas. Esta iluminação deve compreender uma lâmpada a 0,5 m em cada um dos pontos mais alto e mais baixo da caixa e lâmpadas intermediárias com distância entre elas não superior à 7 m. Se for feito uso da exceção prevista no caso particular de 5.2.1, esta iluminação pode não ser necessária, se a iluminação elétrica existente nas vizinhanças da caixa for suficiente.",Eliseu,,Iluminação e Instalações Elétricas,ok,recomendação da norma,08/07/2026,FALSE
3482,"A Norma NM207 recomenda:. A caixa deve ser provida com iluminação elétrica de instalação permanente, proporcionando iluminação mínima de 20 lx durante reparos e manutenção, mesmo quando todas as portas estão fechadas. Esta iluminação deve compreender uma lâmpada a 0,5 m em cada um dos pontos mais alto e mais baixo da caixa e lâmpadas intermediárias com distância entre elas não superior à 7 m. Se for feito uso da exceção prevista no caso particular de 5.2.1, esta iluminação pode não ser necessária, se a iluminação elétrica existente nas vizinhanças da caixa for suficiente.",Eliseu,,Iluminação e Instalações Elétricas,ok,recomendação da norma,08/07/2026,FALSE
3483,"A norma exige que as fiações ao longo da caixa de corrida estejam devidamente protegidas através de conduites, canaletas e caixas de passagem.ABNT-4.3.4 Instalações dos condutores: os condutores localizados na caixa, nas cabinas e na casa de máquinas, com exceção dos cabos de comando que ligam a fiação à caixa, devem ser instalados em condutos conforme a NBR 5410.",Eliseu,,Iluminação e Instalações Elétricas,ok,"proteção da fiação, norma",08/07/2026,FALSE
3484,"As fiações ao longo da caixa de corrida estão abandonadas, em desarranjo, fora das canaletas e condutos. A norma exige que as fiações ao longo da caixa de corrida estejam devidamente protegidas através de conduites, canaletas e caixas de passagem.
NBR 7192 4.3.4 Instalações dos condutores: os condutores localizados na caixa, nas cabinas e na casa de máquinas, com exceção dos cabos de comando que ligam a fiação à caixa, devem ser instalados em condutos conforme a NBR 5410.",Eliseu,,Iluminação e Instalações Elétricas,ok,"proteção da fiação, norma",08/07/2026,FALSE
3485,"A alavanca do limite de segurança está desalinhada em relação ao tirante do cabo de tração. Desta forma, o sistema está inoperante.",Eliseu,,Iluminação e Instalações Elétricas,ok,alavanca do limite desalinhada,08/07/2026,FALSE
3486,"Falta instalar interruptor para alimentação da iluminação da caixa de corrida. Necessita regularização.
NM207 13.6.3.2 Um interruptor deve controlar a alimentação do circuito da casa de máquinas. Este interruptor deve ser localizado dentro e próximo ao acesso à casa de máquinas. Os interruptores da iluminação da caixa devem ser colocados na casa de máquinas e no poço, para que a iluminação possa ser comandada de ambos os lugares.",Eliseu,,Iluminação e Instalações Elétricas,ok,falta interruptor para alimentação da iluminação da caixa,08/07/2026,FALSE
3505,"As estruturas na caixa de corrida elevador estão com acúmulo excessivo de sujeira.  A sujeira tende a espalhar para os componentes e comprometer o funcionamento do elevador. Além disso, a poeira contamina o ar da caixa de corrida que é respirado pelos passageiros no interior da cabine. 
 
A limpeza do maquinário e do ambiente da caixa de corrida do elevador deve fazer parte dos procedimentos periódicos de manutenção, conforme norma técnica.
 
NBR 16083 A manutenção inclui: a) lubrificação e limpeza. Necessita regularização. ",Eliseu,,Limpeza,ok,poeira e sujeira nas estruturas da caixa de corrida,08/07/2026,FALSE
3506,"Vista geral da caixa de corrida. Os equipamentos e instalações foram inspecionados e testados, não constatamos irregularidades. As cabinas, estruturas e corrediças ao longo da caixa de corrida estão com acúmulo de resíduos de construção civil. Antes da colocação dos elevadores em funcionamento definitivo deverá ser feitas limpeza e lubrificação geral. Durante a realização da obra os serviços de manutenção dos elevadores devem ser intensificados de forma a evitar desgastes prematuros e danos aos componentes.",Eliseu,,Limpeza,ok,"resíduo de construção civil, desgaste",08/07/2026,FALSE
3507,"Falta limpeza geral na caixa de corrida, estruturas e demais componentes da caixa de corrida. A limpeza deve fazer parte dos procedimentos periódicos de manutenção. Particularmente nos casos de modernização é imprescindível que se faça a limpeza geral da caixa de corrida acompanhada de pintura nas paredes e recuperação anticorrosiva das estruturas e suportes metálicos. A sujeira ao longo da caixa de corrida comprometem as condições de saúde do edifício. O ar contaminado ao longo da caixa de corrida é respirado pelos passageiros no interior da cabina.",Eliseu,,Limpeza,ok,"limpeza, recuperação, modernização",08/07/2026,FALSE
3508,"Falta limpeza geral na caixa de corrida, estruturas e demais componentes da caixa de corrida.
A limpeza deve fazer parte dos procedimentos periódicos de manutenção e, particularmente, nos casos de modernização.
O acúmulo excessivo de sujeira nas estruturas e componentes contamina o ar da caixa de corrida, que é respirado pelos passageiros no interior da cabina. Necessita regularização.",Rômulo,,Limpeza,ok,"sujeira na caixa de corrida, modernização",08/07/2026,FALSE
3509,Os rolos de guia do contrapeso estão com acúmulo de sujeira e com as articulações desajustadas e ressecadas provocando um funcionamento dos elevadores extremamente ruidoso. Procedimentos de manutenção são necessários para a regularização,Eliseu,,Limpeza,ok,"falta limpeza, manutenção",08/07/2026,FALSE
3510,Os rolos de guia do contrapeso estão com acúmulo de sujeira impregnadas a lubrificante ressecado que provocam um funcionamento dos elevadores com trepidações. Procedimentos de manutenção são suficientes para a regularização,Eliseu,,Limpeza,ok,"falta limpeza, manutenção",08/07/2026,FALSE
3511,Os rolos de guia dos contrapesos e das cabinas estão com acúmulo de sujeira e com as articulações desajustadas e ressecadas provocando um funcionamento dos elevadores pesado e ruidoso. Procedimentos de manutenção e limpeza são necessários para a regularização,Eliseu,,Limpeza,ok,"falta limpeza, manutenção",08/07/2026,FALSE
3512,Vista geral da parte inferior do contrapeso. Falta limpeza geral na estrutura e pintura nos componentes.,Eliseu,,Limpeza,ok,falta limpeza e pintura,08/07/2026,FALSE
3513,"Vista geral do contrapeso. Existe acúmulo de sujeira na suspensão, corrediças e estruturas dos contrapesos. Falta graxa nas graxeiras dos coxins das corrediças. Tal irregularidade sujeita o equipamento a um funcionamento pesado e extremamente ruidoso que aumenta o consumo de energia e compromete a segurança psicológica dos usuários. Procedimentos de manutenção são necessários para a regularização",Eliseu,,Limpeza,ok,"sujeira, funcionamento pesado manutenção",08/07/2026,FALSE
3651," Detalhes mostrando a parte inferior da cabina onde está instalado o aparelho de segurança (freio do elevador). Os mecanismos e contatos foram testados dinamicamente, sob carga, apresentando perfeitas condições de uso e segurança.",Eliseu,,Freio Cunha,ok,"Freio de Segurança, testado, ok",08/07/2026,FALSE
3487,"Falta regularizar a iluminação ao longo da caixa de corrida. Diversas luminárias estão danificadas ou inoperantes. A iluminação da caixa de corrida é item obrigatório por norma e visa proporcionar condições adequadas para manutenção e inspeção dos componentes instalados na caixa de corrida. (Existem luminárias quebradas, sem fixação adequada, sem arandelas e vidros de proteção, cobertas por dejetos de construção civil e com lâmpadas queimadas).
NM16042 5.9 Iluminação da caixa A caixa deve ser provida com iluminação elétrica de instalação permanente, proporcionando iluminação mínima de SO Ixa1,0 m acima do topo do carro e do piso do poço, mesmo estando todas as portas fechadas.
Esta iluminação deve compreender uma lâmpada a 0,5 m no máximo em cada um dos pontos mais alto e mais baixo da caixa e lâmpadas intermediária.",Rômulo,,Iluminação e Instalações Elétricas,ok,"luminarias quebradas, cobertas com massa, soltas",08/07/2026,FALSE
3488,"Vistas gerais das instalações da caixa de corrida.
 
A caixa de corrida do elevador não possui iluminação elétrica permanente, item obrigatório por norma.
 
NM207 5.9 Iluminação da caixa – A caixa deve ser provida com iluminação elétrica de instalação permanente, proporcionando iluminação mínima de 20 lx durante reparos e manutenção, mesmo quando todas as portas estão fechadas.[...]
 
Essa exigência visa proporcionar condições adequadas para manutenção e inspeção dos componentes instalados na caixa de corrida. Necessita regularização.",Romulo,,Iluminação e Instalações Elétricas,ok,caixa de corrida sem iluminação elétrica,08/07/2026,FALSE
3489,"Na extremidade livre da barra existe um contato de segurança visando interromper o funcionamento do elevador quando a barra for movida para a posição de manutenção.
Existe, no entanto, condição de risco de acidente quanto à montagem deste dispositivo, em situações de colagem dos contatos. No caso de os contatos colarem, a remoção da barra não irá causar o corte do funcionamento do elevador. Contraria a norma.
ABNT NBR 12892 14.1.2.2 Contatos de segurança 14.1.2.2.1 A operação do contato de segurança deve ser por separação positiva dos dispositivos de corte do circuito. Esta separação deve ocorrer mesmo se os contatos estiverem colados entre si.
A separação das partes deve obrigar a desfazer o contato, mesmo que eles estiverem colados entre si.
 
Necessita regularização.",Rômulo,,Iluminação e Instalações Elétricas,ok,risco por contatos colados,08/07/2026,FALSE
3490,Q1-O sistema de iluminação ao longo da caixa de corrida está inoperante e danificado.,Eliseu,,Iluminação e Instalações Elétricas,ok,inoperante,08/07/2026,FALSE
3491,Q9-Falta anel de trava de segurança no eixo do rolete do limite. Os limites são componentes ligados à segurança e não admitem irregularidades. Compromete a segurança.,Eliseu,,Iluminação e Instalações Elétricas,ok,"Limites Inferiores, falta trava de segurança, segurança",08/07/2026,FALSE
3492,Q9-Foi utilizado arame em lugar de trava de segurança no eixo do rolete do limite. Os limites são componentes ligados à segurança e não admitem reparos improvisados.,Eliseu,,Iluminação e Instalações Elétricas,ok,"Limites Inferiores, arame no lugar de trava, segurança",08/07/2026,FALSE
3493,"Q9-Limite faltando tampa, expondo os contatos a sujeira. Os componentes de segurança dos elevadores devem ser mantidos permanentemente em perfeitas condições de funcionamento.",Eliseu,,Iluminação e Instalações Elétricas,ok,"Limites Inferiores, faltando tampa, sujeira",08/07/2026,FALSE
3494,Q9-O limite final de segurança está com o rolete danificado. Os componentes de segurança dos elevadores devem ser mantidos permanentemente em perfeitas condições de funcionamento e integridade.,Eliseu,,Iluminação e Instalações Elétricas,ok,"Limites Inferiores, rolete danificado",08/07/2026,FALSE
3495,Q9-Os limites finais de segurança estão em boas condições de funcionamento.,Eliseu,,Iluminação e Instalações Elétricas,ok,Limites Inferiores,08/07/2026,FALSE
3496,"Detalhe mostrando cabo anti-furtoda escada móvel de acesso ao poço embolado próximo ao limitador de velocidade, sujeitando ao agarramento no limitador e seus componentes e acidentes. Recomenda-se que o cabo anti-furto da escada seja reposicionado de modo a eliminar a possibilidade de acidentes.",Rômulo,,Iluminação e Instalações Elétricas,ok,"cabo antifurto embolado, elevador OTIS.",08/07/2026,FALSE
3514,"Detalhe mostrando acúmulo de resíduos de construção civil sobre a polia de suspensão do contrapeso.
Ao depositarem-se na camada lubrificante dos cabos de tração, esses resíduos tornam-se elementos abrasivos quando da passagem dos cabos pelas polias, acelerando o desgaste dos componentes e comprometendo a vida útil do conjunto.
Deve-se proceder à limpeza.",Eliseu,,Limpeza,ok,resíduos de construção civil na proteção da polia. abrasão acelerada,08/07/2026,FALSE
3515,"Os cabos de compensação estão oxidados e desajustados. Necessita procedimentos de manutenção envolvendo limpeza, relubrificação, ajustes e fixação adequada.",Eliseu,,Limpeza,ok,"oxidados, desajustados, manutenção",08/07/2026,FALSE
3516,Existe acúmulo de sujeira nos suportes de guia ao longo da caixa de corrida dos elevadores. Necessita limpeza geral e lubrificação das guias da cabina e contrapeso. O ressecamento das guias sujeita os elevadores a um funcionamento pesado que demanda um esforço maior dos motores de tração causando aquecimento excessivo dos mesmos e paralisações.,Eliseu,,Lmpeza,ok,"sujeira, funcionamento pesado",08/07/2026,FALSE
3517,Blocos de reboco soltando da parede. Os pedaços de alvenaria soltos sujeitam a quedas sobre o equipamento e acidentes.,Eliseu,,"Paredes, Vigas e Teto",ok,reboco soltando,08/07/2026,FALSE
3518,"Existe obra civil inacabada no interior da caixa de corrida, e em diversas partes falta pintura das paredes em cor clara. Os pedaços de alvenaria soltos sujeitam a quedas sobre o equipamento e acidentes.",Eliseu,,"Paredes, Vigas e Teto",ok,obra civil inacabada,08/07/2026,FALSE
3519,"Existe obra civil inacabada no interior da caixa de corrida, e falta pintura das paredes em cor clara.",Eliseu,,"Paredes, Vigas e Teto",ok,"obra civil inacabada, pintura de cor clara",08/07/2026,FALSE
3520,"Vista do topo da caixa de corrida. Os elevadores, quando no limite superior da caixa de corrida, estacionam muito próximos do teto. Essa situação sujeita o elevador, em caso de falha dos sistemas do limite superior, a colisão contra o teto. Dificulta também o trabalho dos técnicos, prejudicando sua segurança.",Eliseu,,"Paredes, Vigas e Teto",ok,"elevadores muito próximo do teto, colisão, segurança",08/07/2026,FALSE
3521,"Existe obra civil inacabada no interior da caixa de corrida. Contraria a norma técnica. As paredes laterais da caixa de corrida devem possuir acabamento liso.
NM 207 5 Caixa 5.3 Paredes, piso e teto da caixa.[...] as paredes laterais da caixa devem possuir acabamento liso e de cor clara, admitindo-se o acabamento sem rebocar desde que ele seja de textura equiparável à do concreto à vista.",Rômulo,,"Paredes, Vigas e Teto",ok,obra civil inacabada,08/07/2026,FALSE
3522,"Existe obra civil inacabada no interior da caixa de corrida. Contraria a norma técnica. As paredes laterais da caixa de corrida devem possuir acabamento liso.
NBR 16042 5 Caixa 5.3 Paredes, piso e teto da caixa.[...] as paredes laterais da caixa devem possuir acabamento liso e de cor clara, admitindo-se o acabamento sem rebocar desde que ele seja de textura equiparável à do concreto à vista.",Rômulo,,"Paredes, Vigas e Teto",ok,"obra civil inacabada, 16042",08/07/2026,FALSE
3497,"Os condutores e cabos dos elevadores (exceto os cabos de comando) devem ser instalados em conduítes (ou canaletas) feitas de metal ou plásticos, ou  protegidos de maneira equivalente, conforme item 13.5.1 da NM207.
NM207 13.5 Fiação elétrica 13.5.1 Nas casas de máquinas e casas de polias e nas caixas dos elevadores, os condutores e cabos (exceto os cabos de comando) devem ser selecionados a partir daqueles normalizados pelo CENELEC e com uma qualidade pelo menos equivalente àquela definida por HD 21.3 S2 e HD 22.4 S2. 13.5.1.1 Exceto para os circuitos de potência da máquina, podem ser usados em todos os circuitos os condutores selecionados conforme CENELEC HD 21.3 S2, partes 2 (HO7V-U e HO7V-R), 3 (HO7V-K), 4 (HO5V-U) e 5 (HO5V-K), desde que eles estejam instalados em conduites (ou canaletas) feitas de metal ou plásticos ou os condutores estejam protegidos de maneira equivalente. NOTA - Estas disposições substituem aquelas do guia existente no anexo 1 de CENELEC HD 21.1 S2.",Eliseu,,Iluminação e Instalações Elétricas,ok,os cabos devem ser instalados em conduítes ou canaletas,08/07/2026,FALSE
3498,"Algumas fiações estão expostas ao longo da caixa de corrida.4.3.2 Proteção de equipamentos sob tensão: Todas as partes sob tensão do sistema elétrico, na caixa do elevador, nas paradas, dentro ou em cima da cabinas, devem ser protegidas contra contato acidental. Os condutores localizados na caixa, nas cabinas e na casa de máquinas, com exceção dos cabos de comando que ligam a fiação à caixa, devem ser instalados em condutos conforme a NBR 5410.",Eliseu,,Instalações Elétricas,ok,"fiações expostas, norma",08/07/2026,FALSE
3499,"Existem sucatas de materiais abandonadas ao longo das caixas de corrida e sobre as cabinas. Este procedimento é condenável e sujeita a acidentes. As sucatas soltando-se de sua posição, tendem a cair entre os mecanismos do elevador comprometendo seu funcionamento e causando acidentes. Necessita regularização.",Eliseu,,Limpeza,ok,"sucatas, acidente, regularização",08/07/2026,FALSE
3500,"Existe acúmulo de sujeira ao longo da caixa de corrida dos elevadores. a sujeira ao longo da caixa de corrida ocultam irregularidades, denotam abandono da manutenção e comprometem as condições de saúde do edifício. O ar contaminado ao longo da caixa de corrida é respirado pelos passageiros no interior da cabina. Recomenda-se limpeza geral e pintura.",Eliseu,,Limpeza,ok,"sujeira, contaminação",08/07/2026,FALSE
3501,"Vista geral da caixa de corrida. Existe acúmulo de sujeira ao longo da caixa de corrida dos elevadores. a sujeira ao longo da caixa de corrida ocultam irregularidades, denotam abandono da manutenção e comprometem as condições de saúde do edifício. O ar contaminado ao longo da caixa de corrida é respirado pelos passageiros no interior da cabina. Recomenda-se limpeza geral e pintura.",Eliseu,,Limpeza,ok,"sujeira, contaminação, manutenção",08/07/2026,FALSE
3502,"Existe massa depositada sobre limites de percurso na caixa de corrida.
Deve-se proceder à limpeza.
Os componentes de segurança dos elevadores devem ser mantidos permanentemente em perfeitas condições de funcionamento.",Rômulo,,Limpeza,ok,"massa depositada nos limites de percurso, recebimento",08/07/2026,FALSE
3503,"Existe acúmulo de sujeira, poeira, e resíduos de construção civil ao longo dos diversos componentes em toda a caixa de corrida do elevador.
Tal irregularidade, além de causar danos ao componentes móveis e componentes elétricos, contaminam o ar da caixa de corrida, que é respirado pelos passageiros no interior da cabina.
A limpeza do maquinário e do ambiente da caixa de corrida deve fazer parte dos procedimentos periódicos de manutenção, conforme norma técnica.
NBR 16083 A manutenção inclui: a) lubrificação e limpeza. 
Deve-se proceder à limpeza geral dos componentes e estruturas da caixa de corrida do elevador.",Rômulo,,Limpeza,ok,"sujeira e poeira geral, construção, na caixa de corrida do elevador",08/07/2026,FALSE
4305,"A formação de um degrau (desnível) entre o piso da cabine e o piso do pavimento.
O passageiro ao sair ou entrar na cabine pode tropeçar e se machucar.
A parada destes elevadores no pavimento é feita através da atuação do freio eletromecânico da máquina de tração.
Este sistema provoca paradas bruscas e nivelamento impreciso com formação de degrau entre o piso da cabina e o piso do pavimento.
No caso de uma modernização, a precisão de nivelamento melhora significativamente. Sem
ela, o equipamento exige ajustes frequentes.
Necessita regularização.
",Romulo,,Porta e Soleira,revisar,"modernização, comentário sobre degraus entre cabine e pavimento",14/07/2026,FALSE
4306,"Para modernização recomendamos a substituição do subteto da cabine com boa iluminação.
",Romulo,,Iluminação e Ventilação,revisar,"modernização, substituição do subteto da cabine",14/07/2026,FALSE
4307,"Recomenda-se a substituição do protetor de soleira (avental, cornija ,aba de proteção ou tapa vista). 
Este item trata-se de uma aba de proteção de ferro posicionada abaixo da soleira da cabina, tendo como finalidade evitar quedas dos usuários quando em situações de emergência ou resgate. 
Conforme norma técnica vigente o tapa vista deve ter 750 mm de altura.
NBR-16858-1- 5.4.5.1 Cada soleira da cabina deve ser provida de um protetor da soleira (avental) estendendo-se em toda a largura da entrada de pavimento que faça face a ela. A seção vertical deve estender-se para baixo por meio de uma dobra cujo ângulo com o plano horizontal deve ser de no mínimo 60°. A projeção desta dobra no plano horizontal deve ser de no mínimo 20 mm. 5.4.5.2 A altura da parte vertical deve ser de no mínimo 0,75 m. 
Recomenda-se a regularização.
",Romulo,,Estrutura Externa e Corrediças,revisar,"modernização, substituição da cornija",14/07/2026,FALSE
4352,"As instalações elétricas na base do painel de controle estão em desarranjo, com cabos dispostos de forma improvisada no piso. Esta irregularidade sujeita os cabos a danos mecânicos, como pisoteio, o que pode provocar mau contato e falhas de funcionamento nos elevadores. Recomenda-se a organização e proteção adequada das fiações, preferencialmente em conduítes ou canaletas, e sua identificação.",Romulo,,Interligações e Fiações Elétricas,revisar,"Quadro de Comando, Fiação Exposta, Cabos Desorganizados, Risco de Dano Mecânico, Canaletas e Conduítes, Organização de Cabos.",23/07/2026,FALSE
4353,"O quadro de força propicia proteção à instalação elétrica e permite ativar e desativar o fornecimento de energia elétrica para o elevador. As instalações foram inspecionadas, não constatamos irregularidade.",Romulo,,Sem Subcategoria,revisar,"Quadro de Força, Sem Irregularidade, Conforme, Proteção Elétrica, Inspeção Ok, Fornecimento de Energia.",23/07/2026,FALSE
4354,"O freio de emergência foi inspecionado.
Não constatamos irregularidades.",Romulo,,Limitador de Velocidade,revisar,"Freio de Segurança, Inspeção OK, Sem Irregularidade, Conforme, Sistema de Segurança.",23/07/2026,FALSE
3523,"Existe obra civil inacabada no interior da caixa de corrida. Contraria a norma técnica. As paredes laterais da caixa de corrida devem possuir acabamento liso.
5.3 Paredes, piso e teto da caixa
A estrutura da caixa deve atender às Normas Brasileiras sobre edifi cação e deve ser capaz de suportar
pelo menos as cargas que podem ser aplicadas pela máquina, pelas guias durante a atuação do freio
de segurança, ou nos casos de carga descentrada na cabina, pela ação dos para-choques, ou aquelas
aplicadas pela trava antipulo da polia de compensação.
As paredes, piso e teto da caixa devem ser construídos com materiais resistentes ao fogo, duráveis,
que não soltem pó e tenham resistência mecânica suficiente. As paredes laterais da caixa devem
possuir acabamento liso e de cor clara, admitindo o acabamento sem rebocar, desde que ele seja de
textura equiparável à do concreto à vista.",Rômulo,,"Paredes, Vigas e Teto",ok,,08/07/2026,FALSE
3524,"ressalto na parede da caixa da plataforma, risco de acidente

ISO 9386-1 9.1.1.3 Construção do fechamento 9.1.1.3.1 Cada parede do fechamento deve formar uma superfície vertical lisa e contínua e deve ser composta de elementos rígidos. 9.1.1.3.2 Quaisquer furos ou projeções nas superfícies internas das paredes de fechamento da caixa não podem exceder 5 mm, e projeções excedendo 1,5 mm devem ser chanfradas a pelo menos 15° com a vertical.",Rômulo,,"Paredes, Vigas e Teto",ok,"ressalto na parede da caixa da plataforma, risco de acidente",08/07/2026,FALSE
3525,"Portinhola de inspeção NM 16042
 
NM 16042 5.2.2.2.2 O funcionamento do elevador somente deve ser possível quando as portas previstas em 5.2.2.1.1 estiverem fechadas e travadas. Este travamento deve ser assegurado por um dispositivo elétrico de segurança de acordo com 14.1.2.
 
 ",Rômulo,,Portas de Acesso e Janelas,ok,Portinhola de inspeção NM 16042,08/07/2026,FALSE
3526," Existe acesso à caixa de corrida sem proteção, a Norma proíbe, compromete a segurança.",Eliseu,,Portas de Acesso e Janelas,ok,acesso sem proteção,08/07/2026,FALSE
3527,Existe porta de acesso no topo da caixa de corrida. O contato de segurança nestes casos é obrigatório. É necessário fazer a regularização.,Eliseu,,Portas de Acesso e Janelas,ok,"porta de acesso no topo, contato de segurança",08/07/2026,FALSE
