ID,Conteúdo,Autor,Categoria,Subcategoria,Status,Tags,Última Sincronização,Excluir?
3170,"Falta instalar o dispositivo de bloqueio no carro do elevador, conforme norma. Essa irregularidade compromete a segurança dos técnicos de manutenção.
NM 16042 6.4.3.1 Se o trabalho de manutenção ou inspeção da maquinaria for para ser executado de dentro da cabina ou a partir do teto da cabina e se qualquer tipo de movimento não controlado ou não esperado do carro resultante da manutenção ou inspeção puder ser perigoso para as pessoas, o seguinte se aplica:
a) qualquer movimento perigoso do carro deve ser impedido por um dispositivo mecânico;
b) todo movimento do carro deve ser impedido por meio de um dispositivo elétrico de segurança em conformidade com 14.1.2, a menos que o dispositivo mecânico esteja em sua posição inativa; [...]",Rômulo,,Estrutura Externa e Corrediças,ok,dispositivo de bloqueio,08/07/2026,FALSE
3171,"Vista mostrando os contatos elétricos dos limites de percurso superior e inferior da cabina, responsáveis por interromper o funcionamento do elevador na situação da cabina atravessar sua zona regular de funcionamento.",Eliseu,,Estrutura Externa e Corrediças,arquivado,"limites de percurso, explicação do funcionamento",08/07/2026,FALSE
3172,"Foram efetuados testes de carga na cabine do elevador. 
O elevador possui carga máxima nominal de 600 kg. Com cargas superiores a 100%, o elevador deve interromper seu funcionamento e sinalizar o excesso de carga.
O elevador indicou excesso de carga corretamente e fez bom nivelamento nos pavimentos sob carga nominal.",Rômulo,,Estrutura Externa e Corrediças,ok,"testes de carga, pesador de carga",08/07/2026,FALSE
3173,"A folga entre a cabina e as estruturas da guia do contrapeso (0,8cm) está abaixo do admitido pela norma(3,0 cm) sujeitando a colisões e acidentes. Compromete a segurança. Necessita regularização. NBR 7192 4.4.4.2 As folgas entre o carro, contrapeso e paredes das caixas, devem obedecer ao seguinte: b)entre as partes mais salientes dos carros e as partes mais salientes do contrapeso ou qualquer peça aos mesmo fixada, mínimo: 3 cm",Eliseu,,Estrutura Externa e Corrediças,ok,"pequena folga entre cabina e contrapeso, norma",08/07/2026,FALSE
3174,A suspensão da cabina está ressecada e as molas estão provocando ruídos excessivos. Os ruídos provocam desconforto e insegurança nos usuários. Necessita regularização.,Eliseu,,Estrutura Externa e Corrediças,ok,"Fixação da Cabina, suspensão ressecada, ruídos",08/07/2026,FALSE
3175,"A norma não exige, todavia, entendemos ser fortemente recomendável por razões de segurança, que os elevadores disponham de portinhola de salvamento sobre a cabina.",Eliseu,,Estrutura Externa e Corrediças,arquivado,"portinhola de salvamento, recomendação",08/07/2026,FALSE
3176,"Falta uma das borrachas mordentes responsáveis pela fixação da cabina na estrutura. A falta das borrachas mordentes sujeita a cabina a deslocamentos e torções, sujeitando a desgaste prematuro e funcionamento ruidoso. Necessita regularização.",Eliseu,,Estrutura Externa e Corrediças,ok,"Fixação da Cabina, faltam borrachas mordentes, deslocamentos, torções",08/07/2026,FALSE
3177,Os dispositivos mordentes responsáveis pela fixação da cabina na estrutura estão devidamente fixados e apresentam-se em perfeitas condições de uso. Não constatamos necessidade de substituição ou reparos.,Eliseu,,Estrutura Externa e Corrediças,arquivado,"Fixação da Cabina, devidamente fixada, ok",08/07/2026,FALSE
3178,"Os dispositivos mordentes responsáveis pela fixação da cabina na estrutura estão folgados, permitindo movimentações da cabina. Devem ser substituídos e ajustados.",Eliseu,,Estrutura Externa e Corrediças,ok,"Fixação da Cabina, mordentes folgados, movimentações, substituição",08/07/2026,FALSE
3179,"Existe peso abandonado sobre a cabina sujeitando os técnicos de manutenção a acidentes. Devem ser retirados, verificando-se o balanceamento do conjunto cabina/contra peso.",Eliseu,,Estrutura Externa e Corrediças,ok,"peso abandonado, retirar, verificar balanceamento",08/07/2026,FALSE
